Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-10,4815.8641824,-1.1143852679737836
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-9,6081.9527726,1.9160544251755125
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-8,5050.915995,-0.5517782368676819
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-7,7207.5288676,4.610171173679786
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-6,34606.0428254,70.18974030786353
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-5,46913.1687636,99.64739693662837
7,GLWLp.R018a,GLWL,76552.9836738,2022_05_27,1e-4,47060.482936,100
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,0,6775.0522916,0
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-12,6066.2885524,-1.1992174346643034
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-11,5747.5560574,-1.7385079539979897
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-10,9495.011155,4.602128904394414
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-9,7375.747178,1.0163665842974223
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-8,8977.3611004,3.726272908668766
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-7,10887.8371154,6.958769182084191
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-6,48426.1238388,70.47297767833177
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-5,55894.6325728,83.10958052551568
8,GLWLp.R018a,GLWL,69432.1112116,2022_05_27,1e-4,65877.2399944,100
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,0,5970.6277578,0
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-12,5949.1117391,-0.03529552220424714
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-11,7772.129091,2.955236802566129
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-10,6398.5797112,0.7020252159188051
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-9,6340.2396384,0.6063224112493814
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-8,5356.2634,-1.0078217134207923
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-7,12029.6094896,9.939335303230303
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-6,42968.0627456,60.691701672116366
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-5,50052.4700574,72.31317584278003
9,GLWLp.R018a,GLWL,61368.290286,2022_05_27,1e-4,66930.2548048,100
1,HIRa.R021,HIRa3,,2021_07_21,0,6106.425949,0
1,HIRa.R021,HIRa3,,2021_07_21,1e-12,8030.743555,13.436877180792568
1,HIRa.R021,HIRa3,,2021_07_21,1e-11,8121.108672,14.067867083275928
1,HIRa.R021,HIRa3,,2021_07_21,1e-10,9278.480627,22.149414933453833
1,HIRa.R021,HIRa3,,2021_07_21,1e-9,10592.01176,31.321370982827677
1,HIRa.R021,HIRa3,,2021_07_21,1e-8,15030.63725,62.31483348335487
1,HIRa.R021,HIRa3,,2021_07_21,1e-7,17806.28474,81.69626735062114
1,HIRa.R021,HIRa3,,2021_07_21,1e-6,20427.59284,100
1,HIRa.R021,HIRa3,,2021_07_21,1e-5,17273.57572,77.97653540381467
1,HIRa.R021,HIRa3,,2021_07_21,1e-4,14746.61126,60.331573375000886
2,HIRa.R021,HIRa3,,2021_07_21,0,7885.076616,0
2,HIRa.R021,HIRa3,,2021_07_21,1e-12,10031.99986,23.697769723732097
2,HIRa.R021,HIRa3,,2021_07_21,1e-11,8799.881581,10.09763039423164
2,HIRa.R021,HIRa3,,2021_07_21,1e-10,8611.894905,8.022630753966045
2,HIRa.R021,HIRa3,,2021_07_21,1e-9,13117.79487,57.758819538152764
2,HIRa.R021,HIRa3,,2021_07_21,1e-8,12547.62991,51.465330488471146
2,HIRa.R021,HIRa3,,2021_07_21,1e-7,16013.13852,89.71766449477758
2,HIRa.R021,HIRa3,,2021_07_21,1e-6,16944.67703,100
2,HIRa.R021,HIRa3,,2021_07_21,1e-5,16307.22099,92.96375103900913
2,HIRa.R021,HIRa3,,2021_07_21,1e-4,12004.05743,45.465369616466184
3,HIRa.R021,HIRa3,,2021_07_21,0,6149.110933,0
