Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
1,FLRNa.R026,FLRNa,673.2995478,359.5389822,604.2767873,301.6894428,451.5381703,695.2812405,1475.940526,4321.550177,10118.24106,7245.072602,5456.435296,,2021_07_28
2,FLRNa.R026,FLRNa,453.6213864,581.80617,327.0065486,558.7803731,557.6460816,1291.436928,2639.215457,6940.50809,14100.52031,16793.75014,12078.33068,,2021_07_28
3,FLRNa.R026,FLRNa,374.4580102,307.2145678,396.8316592,632.898084,434.918609,1323.649058,5795.666402,10489.07026,24448.17597,15820.90092,14746.30026,,2021_07_28
4,FLRNa.R026,FLRNa,430.9552566,264.073254,227.501086,453.906891,545.6485678,508.0148008,1489.322289,5527.383278,6633.954545,7453.338814,4602.921277,,2021_07_28
5,FLRNa.R026,FLRNa,490.779836,453.9528686,363.2481702,342.7895372,324.492945,718.1437089,1831.608252,6619.357757,10025.36597,18354.5856,20511.51398,,2021_07_28
6,FLRNa.R026,FLRNa,500.5993218,487.9772684,722.6527688,560.2785276,325.5223,940.1987444,2701.356344,12021.65108,17699.68653,25583.25071,22694.92096,,2021_07_28
7,FLRNa.R026,FLRNa,390.6829125,,337.2979674,394.151002399999,343.88406,507.804267499999,508.7219551,1627.4377421,2224.7877903,2506.87685319999,1720.88983169999,8755.0287453,2022_01_27
8,FLRNa.R026,FLRNa,493.944558299999,,392.2956267,443.1853214,345.3212152,558.6369297,674.0422406,1431.7939547,2930.281041,3134.2116074,1977.96754609999,10570.2269469,2022_01_27
9,FLRNa.R026,FLRNa,496.1673886,,526.993750499999,573.782189999999,558.8783824,591.8462248,726.6691043,2081.8791853,3677.1385365,2717.6654596,2707.9692877,11803.8123,2022_01_27
1,FLRNa.R187,FLRNa,6957.1413052,5791.5953964,5564.2922456,5452.11478759999,6851.0521644,6451.6617064,11116.5165108,31143.2620036,51427.8261727999,62324.8918812,64568.89291,96762.5693488,2023_03_17
2,FLRNa.R187,FLRNa,5856.7360044,5863.02385319999,5977.37354319999,5841.7084356,7925.83743599999,6880.4132536,12169.2153408,27624.4717668,53719.8805468,62358.709138,55665.0500807999,94857.7013392,2023_03_17
3,FLRNa.R187,FLRNa,6335.9177264,5113.8496044,4867.6507756,6036.1332264,6333.10833,7831.1724536,11846.5457603999,31122.395488,57759.5462444,71023.533272,59504.3301996,97904.1197276,2023_03_17
4,FLRNa.R187,FLRNa,14263.3339104,14559.1879432,14751.1773876,11246.8760208,14323.7464328,17078.7028683999,21899.0511832,30601.3256399999,47379.7207964,42595.7992727999,50655.3320555999,87884.9893588,2023_03_17
5,FLRNa.R187,FLRNa,9639.378572,10793.7326543999,16386.999796,18448.4793696,21622.2663628,19804.4298699999,21828.9688492,33822.807384,43437.627666,53466.6969955999,49060.3715935999,90301.8447908,2023_03_17
6,FLRNa.R187,FLRNa,14521.8091039999,13377.3316435999,9748.4767416,12468.8958744,19291.050816,18118.0058844,15479.6584188,33086.171428,46250.4601991999,33861.2238183999,41620.3878536,72792.9994372,2023_03_17
7,FLRNa.R187,FLRNa,3995.68824659999,4266.9048636,4905.390727,3439.2744736,2839.01273539999,3560.60620399999,6375.72639119999,4941.5917926,10515.3046208,7832.0178832,17458.9673634,81360.1025688,2023_03_16
8,FLRNa.R187,FLRNa,7560.8139498,14092.0960816,27308.786054,13846.7738784,10730.330715,13617.3642541999,19666.527479,16979.9708871999,28937.9362691999,12784.385872,30191.599305,119551.8956874,2023_03_16
9,FLRNa.R187,FLRNa,6885.57922319999,11387.152161,22487.0125693999,12953.5634874,19454.8073216,26854.0556402,27023.086177,28563.5029049999,33909.026022,16922.0069222,21832.0142702,108941.4421676,2023_03_16
1,FLRNa.R197,FYRVa,5510.9240294,,4971.2008168,5155.2453036,4476.4888336,3431.1397252,3104.8210872,3921.7638684,16694.9297904,24272.19517,19510.5200848,43586.8854604,2022_09_02
2,FLRNa.R197,FYRVa,4394.4845796,,4113.5314408,5490.0430716,3323.059843,3528.7585216,3768.5342524,5530.1665176,17763.6787928,26223.4001544,27810.5305932,53221.401348,2022_09_02
3,FLRNa.R197,FYRVa,4239.2647308,,4757.914139,4550.4522864,4262.410239,3919.0591498,3221.349364,5764.2356528,20545.5906044,26418.1471788,22368.4518012,36852.761132,2022_09_02
4,FLRNa.R197,FYRVa,1055.7717406,1081.6353132,983.388644,751.5982222,1333.9211988,1110.7818292,1283.6966088,1029.9238776,1585.8504192,3209.9462916,5924.3057876,40299.233618,2022_11_30
5,FLRNa.R197,FYRVa,1112.9351304,1159.3846468,1079.913541,789.7680442,986.053861,958.8417986,1033.9604544,381.2753592,1984.2082556,4635.7170732,6540.571442,34820.9810384,2022_11_30
6,FLRNa.R197,FYRVa,614.1460808,1217.6681868,1407.0651274,385.246896,2049.0534048,1284.8306236,1263.8993076,1239.5123436,1928.2853612,5873.8224728,4784.6267232,28772.0354908,2022_11_30
7,FLRNa.R197,FYRVa,3890.7308368,4507.0071804,4212.8582056,2848.6687756,3469.7404496,1260.9507788,3565.4567664,5730.4236328,23533.6303084,39629.2506288,52242.8090452,38242.6766568,2022_12_14
8,FLRNa.R197,FYRVa,6214.4990444,4899.5542988,4300.239622,3900.63076,3452.1288096,1030.4833664,4576.0131744,6422.5527684,35603.5349628,58841.0879952,77902.8090064,64716.6718996,2022_12_14
9,FLRNa.R197,FYRVa,7483.4382288,5221.5750376,5242.5254368,3793.5259328,3843.2309024,923.7216652,5907.1591708,14497.142472,63370.7618604,92508.7325576,97849.250862,39437.7941224,2022_12_14
1,FLRNa.R197,FLRNa,6762.9225898,,5479.1355076,4122.4682544,4379.8076788,5031.1509576,22553.3280084,32742.187414,34462.8466888,34283.3638132,27870.3837,67727.4984292,2022_09_02
2,FLRNa.R197,FLRNa,5955.3592004,,4114.7576562,3359.2674408,4321.1596772,3235.715926,9801.3055728,24610.8226264,26542.6978412,26544.1600644,23590.122982,50312.095654,2022_09_02
3,FLRNa.R197,FLRNa,5472.317004,,4523.4539644,4474.7583648,4846.7743644,3978.2668898,12281.7022904,21307.2297592,24256.577128,25212.2807452,24257.0994384,43235.7196888,2022_09_02
4,FLRNa.R197,FLRNa,3410.3301412,3914.483522,3328.4610592,3564.9460592,2231.7453312,3706.6378076,13085.190352,21618.7593504,26326.920828,22393.3768184,23116.7767196,55481.5947336,2022_09_10
5,FLRNa.R197,FLRNa,4196.3449492,2866.188648,4123.388952,3217.238634,2910.1188096,3551.1415568,13257.3151308,25197.646616,25817.116322,27276.6804232,21457.4731252,58456.7153752,2022_09_10
6,FLRNa.R197,FLRNa,2835.9725432,2964.763602,3077.8275512,3255.8459368,3103.613184,3338.2378656,11762.6901748,18286.8114076,19338.5160208,17168.8589744,17439.9712308,44227.1393016,2022_09_10
7,FLRNa.R197,FLRNa,8749.6041008,6520.5645584,6808.6360044,5716.211122,7189.1790808,2131.5626868,46377.8746404,87173.4741132,97748.1142812,111745.456194,118031.7520088,43000.7914992,2022_12_14
8,FLRNa.R197,FLRNa,6725.538064,7003.0001756,4728.4048212,3580.1585188,4983.2659696,1527.9394408,47649.3991064,75937.5264016,99955.0079656,104026.823188,92769.2785816,60007.0338016,2022_12_14
9,FLRNa.R197,FLRNa,7976.2561824,8248.2357168,6433.6589208,5840.6891436,4305.7851664,1296.7339096,48431.8361532,106211.1590472,108138.4882372,113373.7991196,6711.2070492,69251.9736544,2022_12_14
1,FLRNa.R230,FLRNa,11408.5063832,11072.7341072,10239.5453868,9795.7628664,11617.6438132,25155.9297496,52387.1307704,62317.58513,64697.8085832,67083.4574172,76084.8809996,82404.4554368,2022_09_09
2,FLRNa.R230,FLRNa,10415.307294,11821.5642608,12783.1808212,12747.230304,16452.3884504,1333.6110656,75413.5221268,81058.194822,90209.0193464,87366.7028156,88674.3060828,99608.5915964,2022_09_09
3,FLRNa.R230,FLRNa,7020.721788,6922.7103452,9754.4858596,8138.1486584,10207.8917812,19818.2298132,33669.1779468,37174.8061916,40374.2140112,39289.2942532,37644.1281908,50565.6518836,2022_09_09
4,FLRNa.R230,FLRNa,3352.4480384,3449.3954964,3483.7799276,4786.4368516,5490.7003904,12751.984568,40952.0574716,56187.4568644,60522.0860008,58883.5062272,57156.3203024,89509.50133,2022_09_10
5,FLRNa.R230,FLRNa,4349.2914332,4009.5524708,4374.6009556,5716.8348052,5507.900672,12630.3945812,37787.866934,46613.7668684,54196.1724412,52108.5308716,52163.1135108,84831.805836,2022_09_10
6,FLRNa.R230,FLRNa,3678.6599164,5347.6124132,6309.7832064,5407.2545224,5549.728896,14084.9796452,41816.923446,53634.465298,68563.4369,60110.5688488,53587.2771584,80986.9887384,2022_09_10
7,FLRNa.R230,FLRNa,3049.1947488,3636.3945112,2948.08008,5615.983774,10821.382758,12258.1270656,30935.6149788,45698.692276,50654.2150288,53350.745416,46131.9520612,71222.270518,2023_02_03
8,FLRNa.R230,FLRNa,2779.9189228,3275.77734,4105.7359196,8804.239198,13068.32805,19262.3968344,36119.6241344,59004.63254,67742.7505552,52115.5365772,65177.5310924,81966.8267788,2023_02_03
9,FLRNa.R230,FLRNa,2708.1103188,3601.9823048,3491.6017024,8263.2826664,14917.988662,19207.1335844,35822.4821296,55060.4125116,55833.6127704,70090.2903764,57722.4689916,82995.5345016,2023_02_03
1,PFHa.R036,PFHa,1645.3781128,1902.853335,2863.754005,3957.7789286,5511.8837818,25713.889746,71351.292846,124168.4403694,138653.632354,156056.4216276,139351.8890836,147556.2335326,2022_06_28
2,PFHa.R036,PFHa,1604.8911848,2610.5757912,2823.8426886,2969.7397568,5662.290181,34295.5944974,94209.888561,93331.581655,180336.2302402,165182.502709,147135.1860774,165097.960624,2022_06_28
3,PFHa.R036,PFHa,2099.9287552,2480.107108,3411.0695098,3344.8766194,8403.9656698,36646.3357134,104087.685883,128757.7118354,156348.595336,199960.0954162,152242.0932338,159597.1280012,2022_06_28
4,PFHa.R036,PFHa,1112.2010624,2971.993189,2883.1721175,3203.1127419,5952.374871,15731.1979502,26229.3115034,31882.1085884,28652.8495005,38189.1348384,31230.3730351,54636.5987459,2022_07_15
5,PFHa.R036,PFHa,1111.775644,2478.1312595,2987.8798293,2753.7390884,6376.2962714,17129.2965036,28076.8433969,29058.3271253,38697.9028799,33686.0692029,33593.0564794,87727.8332722,2022_07_15
6,PFHa.R036,PFHa,1113.102576,1881.4060987,2954.1065656,2840.1850939,5595.0091575,16932.4372972,21907.363645,22820.6403678,28835.1678949,35021.9335126,24392.2948605,56221.3655851,2022_07_15
7,PFHa.R036,PFHa,1130.6179577,745.725799,1191.606575,1458.0990852,1657.5784382,3014.9251822,2304.951558,2547.5085541,6092.1482182,22230.83018,6915.066389,15840.7326739,2022_07_27
8,PFHa.R036,PFHa,706.6587635,319.5954281,995.2337681,977.0894377,1319.1392794,3813.7157002,3081.3610049,2986.2665983,5009.8421882,9454.2258728,5403.2614462,16763.7799269,2022_07_27
9,PFHa.R036,PFHa,1042.1425254,710.3309837,1084.3232104,1546.0827578,1692.4561336,1472.6255047,2977.1904068,2249.1211006,5953.589113,12363.10815,8632.7951289,16321.9199878,2022_07_27
1,QWa.R069,QWa1,1134.4348624,,1341.45824679999,950.9813864,1167.97657499999,1438.20606239999,1956.09681099999,5371.12711139999,13114.7284525999,21005.8259461999,23485.0861486,32126.9969353999,2022_02_15
2,QWa.R069,QWa1,768.76086,,1177.05046359999,1280.36512839999,1463.520765,1448.09411039999,2672.521216,5891.83523119999,16520.0124731999,27639.5939513999,27931.9612232,41511.5908725999,2022_02_15
3,QWa.R069,QWa1,819.8694616,,1195.53145699999,1328.1349588,1525.144605,1881.69202799999,1067.46707839999,2696.4994716,18362.9113292,31896.1240856,28222.2709904,44591.2281682,2022_02_15
4,QWa.R069,QWa1,1821.3414349,,1798.8774161,2020.3865268,1688.6382144,1716.9055112,2292.836896,6310.2873704,15668.7996829,22101.2898664,21528.4644312,39947.0235244,2022_03_02
5,QWa.R069,QWa1,2101.5464126,,2084.3172704,2034.2620732,1751.4043951,1916.0026461,2501.4716879,6224.134045,17175.6703687,23347.241606,25669.7857874,45303.8079751,2022_03_02
6,QWa.R069,QWa1,1664.0688725,,2251.1196128,1734.6706429,1674.7645195,1555.4255885,2270.7167966,6060.1959755,17584.9245088,23553.9046923,25156.4534802,48988.1407233,2022_03_02
7,QWa.R069,QWa1,446.696268,,429.7794896,380.8144056,426.92648,254.8063232,436.393936,1368.5406848,4140.10856,6257.4727992,9430.5364128,16792.1291696,2022_04_01
8,QWa.R069,QWa1,360.3254192,,341.7270984,399.5536392,285.77652,325.7049576,490.497252,1293.7093392,3226.8867704,7584.0527,8706.4264984,13336.6537224,2022_04_01
9,QWa.R069,QWa1,455.9727976,,388.9718256,469.9959096,217.2040616,318.1738048,487.54706,1608.247244,4057.4358136,8163.1426096,8079.978336,15207.6354064,2022_04_01
1,VRHa.R186,RHa1,7869.741103,21296.495847,21558.2927653999,21034.00051,40493.1265815999,63295.0027384,75424.995905,65178.1108013999,56079.5102552,71049.0044138,74992.8254382,73169.8647515999,2023_03_17
2,VRHa.R186,RHa1,3646.17238399999,13714.3831959999,13862.0594116,22191.873278,43939.5028204,67040.9221317999,66418.0930279999,81904.2263855999,85672.648578,99554.3020899999,74467.5042298,89195.2272974,2023_03_17
3,VRHa.R186,RHa1,7889.76036659999,12819.4410981999,19592.6565838,17520.9233939999,28298.1297592,64266.3662372,82098.1848537999,73497.8877778,106195.9346094,78378.6489157999,61516.2040605999,104780.9983856,2023_03_17
4,VRHa.R186,RHa1,9305.9939512,17705.2819724,15375.8643975999,20771.0454795999,27937.0740656,38286.6540331999,45190.3097128,50077.1833228,60277.9268595999,55818.9792272,51400.7444896,74602.4674228,2023_03_17
5,VRHa.R186,RHa1,50846.384466,24395.292428,18185.5935016,22339.2228755999,27361.1978387999,24883.5314779999,52401.9741172,53513.6860284,67579.126658,68481.7043351999,61893.0451376,95868.1774211999,2023_03_17
6,VRHa.R186,RHa1,11852.6018856,14834.008678,20715.2453971999,16484.4035768,26674.5446887999,38822.4961264,44307.442456,57942.4796564,52605.3597607999,62964.3056547999,56449.3576975999,84098.2529567999,2023_03_17
7,VRHa.R186,RHa1,6539.9740516,9095.72087,9829.04931499999,14161.940021,19214.0786008,29034.5542315999,27901.8692042,61734.5205633999,37308.8125704,54292.8058293999,47854.0712212,83609.4947255999,2023_03_16
8,VRHa.R186,RHa1,12097.1787166,20628.4240719999,21555.2085611999,20648.077361,27032.8911958,26541.2988986,34279.5697472,42798.3421652,34098.7340521999,41303.8624469999,51028.365965,68425.2282949999,2023_03_16
9,VRHa.R186,RHa1,7312.299037,17244.0908898,15165.1909969999,17822.7080776,23997.6565815999,13421.3873408,41220.4083361999,52753.3570949999,31125.4418714,45445.1248514,39326.4142812,97432.7301099999,2023_03_16
1,RPa.R248,FRPa3,5714.38296279999,6127.79271,4401.4318336,5282.48796399999,5153.77586519999,11086.4135092,23753.7101012,47645.5008316,60510.0654364,68254.8543624,121108.2191832,77645.2195128,2023_03_17
2,RPa.R248,FRPa3,4699.70581279999,5275.13219279999,5206.5727632,5926.89513279999,7604.073662,11850.5045663999,28396.1414548,58887.1965868,74903.811294,103654.053314,102107.8164544,91867.5168712,2023_03_17
3,RPa.R248,FRPa3,6389.1591112,6254.7162984,4616.85759439999,5271.744444,6512.7275672,9954.5032932,27290.8660547999,54318.6278536,85526.990776,78177.569318,108298.515317599,113903.80916,2023_03_17
4,RPa.R248,FRPa3,11266.8733908,10651.0980444,10516.6602895999,13849.475136,15277.6896363999,20110.2041932,26435.1505444,39866.9317099999,57596.5375912,31273.6751695999,103294.667739599,86922.9541743999,2023_03_17
5,RPa.R248,FRPa3,9488.5654768,10970.9987139999,13460.6759395999,10819.4113608,18483.0292644,23682.878772,31635.0667892,49837.0652824,63271.5136472,9058.437596,94541.3414028,89053.4707648,2023_03_17
