Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
5,GPR21.all.adjusted,HIRa4,4324.865628,,,4794.717922,5059.358863,7383.678401,7460.884394,10413.16088,10272.7448,13382.72606,10103.22705,,2021.04.28
6,GPR21.all.adjusted,HIRa4,1238.72832,,,2257.993258,2388.375312,1936.069889,3260.988094,3181.044683,3609.468902,2753.729068,2439.719554,,2021.04.28
7,GPR21.all.adjusted,HIRa4,1967.27897,,,1972.322619,2332.212462,2639.667411,3739.71165,5486.100104,2965.808052,3745.866063,3940.000017,,2021.04.28
8,GPR21.all.adjusted,HIRa4,38846.8762366,,46150.886383,45430.9253162,44162.5727574,48276.4103178,77725.1156298,71549.6703376,103196.4270138,96355.6557752,75502.4093048,70991.2215292,2022.05.27
9,GPR21.all.adjusted,HIRa4,42926.0250792,,61249.2636774,53843.8453936,48292.5773826,60971.173494,83570.7201968,91131.7967428,105322.2188566,99711.94137,92886.113274,74667.0647724,2022.05.27
10,GPR21.all.adjusted,HIRa4,36796.190816,,58840.6471966,23422.7082184,38482.7206338,31317.3789912,59300.923841,76812.3474376,63720.6811038,65703.3320374,87404.9156594,46230.7800714,2022.05.27
1,GPR21.all.adjusted,HIRa5,5648.376302,,7129.630379,7556.863636,10145.73611,12111.46637,14206.13586,15852.75154,19975.66656,18397.86781,19412.30442,,2021.07.21
2,GPR21.all.adjusted,HIRa5,6188.049049,,7277.820156,8659.467912,10207.3559,10054.68654,12382.17521,14899.67825,18225.59512,17362.18608,16761.3755,,2021.07.21
3,GPR21.all.adjusted,HIRa5,6356.680272,,6951.140109,6298.327468,7939.247247,11120.54161,10600.38903,14351.17937,13428.19298,15164.98383,14367.20969,,2021.07.21
4,GPR21.all.adjusted,HIRa5,5514.104419,,,5616.911282,6084.102104,8781.776501,11484.55211,14777.35159,14680.79128,11663.74011,11775.29749,,2021.04.28
5,GPR21.all.adjusted,HIRa5,3807.474488,,,3717.446516,5795.669211,6844.975882,8073.429422,8907.981994,12329.66966,9742.822138,9793.292982,,2021.04.28
7,GPR21.all.adjusted,HIRa5,1610.016498,,,1324.757906,2158.117467,2377.253021,2243.499386,4949.504913,3485.176384,2300.462288,2866.939808,,2021.04.28
8,GPR21.all.adjusted,HIRa5,26935.944193,,29430.8040446,41414.9011608,44508.1936556,35921.966521,42717.9372416,68108.4714948,69160.7391978,71670.4788834,53524.5695252,87440.5896932,2022.05.27
9,GPR21.all.adjusted,HIRa5,31363.2008494,,33354.7980984,53547.4561782,47575.9704668,46552.5160626,58528.1316202,74727.7280672,80484.984979,68455.316356,64456.8870488,86665.7796808,2022.05.27
10,GPR21.all.adjusted,HIRa5,31360.06305,,34863.396262,43422.0887192,44291.3705042,37999.0130404,40444.9643122,61854.8430312,69304.310504,68366.8284998,46023.0824068,71962.1386108,2022.05.27
1,GPR21.all,HIRa3,366.0843816,6106.425949,8030.743555,8121.108672,9278.480627,10592.01176,15030.63725,17806.28474,20427.59284,17273.57572,14746.61126,,2021.07.21
2,GPR21.all,HIRa3,367.8744888,7885.076616,10031.99986,8799.881581,8611.894905,13117.79487,12547.62991,16013.13852,16944.67703,16307.22099,12004.05743,,2021.07.21
3,GPR21.all,HIRa3,227.3972624,6149.110933,6316.763783,6742.51585,8951.268526,10040.40516,11752.14719,14424.295,14879.33218,13439.03441,11027.94826,,2021.07.21
4,GPR21.all,HIRa3,426.6243432,,7307.101499,6025.297698,5826.180597,9391.668404,12419.0211,13478.09875,13798.7574,12537.4422,10810.6368,,2021.04.28
