Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-10,52292.5994246,14.726146603493468
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-9,62932.5678524,38.675169879399164
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-8,74439.7837444,64.57624121325107
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-7,80016.2515686,77.1280601989319
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-6,90177.698011,100
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-5,86076.9814524,90.76988273262107
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-4,71978.9985376001,59.03737118797217
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,0,47477.996805,0
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-12,50315.6631332,5.528344265132573
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-11,52796.9624816,10.362414038059553
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-10,47700.2880312,0.43306798031167903
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-9,74055.026412,51.77739459780544
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-8,87868.8352458,78.68947023089004
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-7,93604.705151,89.86409748739106
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-6,98807.4038048,100
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-5,90444.2889088,83.70697152992126
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-4,89161.6837562,81.20819894015612
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,0,39770.2058252,0
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-12,52415.6791918,17.29458572230353
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-11,59775.8935536,27.360785264575366
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-10,60294.8537254,28.070541310668688
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-9,52497.285928,17.406195201348893
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-8,89197.128041,67.59874608637269
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-7,87421.194241,65.16988965286345
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-6,94161.2039748,74.38786613591425
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-5,106563.6257748,91.35004230488258
10,GPR21.all.adjusted,HIRa3,68826.794978,2022.05.27,1e-4,112888.3109342,100
1,GPR21.all.adjusted,HIRa1,,2021.07.21,0,3671.711978,0
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-12,4658.175493,6.750304619121299
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-11,6037.572878,16.18942973422436
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-10,7913.259896,29.02463199878176
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-9,7464.074183,25.9508838598988
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-8,10308.45535,45.414796146752856
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-7,15577.60804,81.47125966650343
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-6,18285.32678,100
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-5,16473.35464,87.60079443347573
1,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-4,18006.06652,98.08904050241026
2,GPR21.all.adjusted,HIRa1,,2021.07.21,0,4737.065862,0
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-12,3869.649166,-6.166939809705487
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-11,6923.840826,15.546979488113143
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-10,7021.180654,16.239021574841765
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-9,8358.994006,25.750268541206754
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-8,9977.205478,37.2550191336474
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-7,12756.86803,57.01716082232472
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-6,15070.09444,73.4631528149565
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-5,15382.99904,75.68776278992976
2,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-4,18802.65954,100
3,GPR21.all.adjusted,HIRa1,,2021.07.21,0,4096.283026,0
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-12,3714.700196,-3.4060919954145668
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-11,4494.934953,3.5584544973139667
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-10,6817.798304,24.292842012294535
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-9,7746.013128,32.5782910249022
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-8,8304.552539,37.563936256713774
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-7,10169.59417,54.21170673020187
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-6,14088.23358,89.19034119160321
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-5,12210.18991,72.42651166754942
3,GPR21.all.adjusted,HIRa1,,2021.07.21,1e-4,15299.2344,100.00000000000001
4,GPR21.all.adjusted,HIRa1,,2021.04.28,0,3570.278403,0
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-11,4579.957415,5.288167297917789
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-10,7741.892739,21.848720483416596
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-9,7979.252584,23.09188643541702
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-8,9030.259716,28.596508676015567
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-7,14789.51046,58.760433134147696
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-6,18321.98875,77.26169536874643
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-5,22663.45294,100
4,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-4,19000.21549,80.81389010035424
5,GPR21.all.adjusted,HIRa1,,2021.04.28,0,4947.305688,0
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-11,6310.934115,8.234209496745152
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-10,8961.858371,24.24169749839216
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-9,8443.162873,21.10957784542561
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-8,13266.28171,50.23376603716667
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-7,17293.73223,74.55334654958968
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-6,21507.83196,100
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-5,19654.28912,88.8074641496514
5,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-4,15534.11063,63.92794992209774
6,GPR21.all.adjusted,HIRa1,,2021.04.28,0,1394.82076,0
